ID,First Name,Last Name,Phone,Street Address,City,State,Zipcode,Latitude,Longitude,Req Date,Territory
111,IMANI,JEFFERSON,(444) 884-4239,674-1385 PELLENTESQUE ROAD,PINE BLUFF,AR,71601,34.1969,-91.9049,19-01-2016,South
112,STEWART,HAYDEN,(920) 106-5190,267 JOHNSON AVE.,WHITE HALL,AR,71602,34.2803,-92.1215,01-01-2016,South
113,BERK,HATFIELD,(880) 300-1960,3062 ENGLISH RD.,BATON ROUGE,LA,70837,30.4506,-91.1547,03-01-2016,South
114,GLENNA,FLORES,(353) 501-0299,3835 TEMPUS STREET,CHEYENNE,OK,73628,35.6464,-99.7074,20-02-2016,South
115,URIEL,HARVEY,(171) 672-0656,1204 FAMES ST.,CORDELL,OK,73632,35.2306,-98.8625,20-12-2015,South
116,CECILIA,BARRETT,(142) 206-6963,3399 CURSORS STREET,CRAWFORD,OK,73638,35.8721,-99.8066,10-12-2015,South
117,STEWART,WILEY,(620) 961-4419,3560 NIBH ROAD,LONE WOLF,OK,73655,34.9663,-99.2594,02-01-2016,South
118,TRAVIS,ALEXANDER,(621) 600-2119,391 IACULIS ST.,SULPHUR SPRINGS,TX,75483,33.1385,-95.6006,25-01-2016,South
119,ELIANA,LANDRY,(671) 601-8444,7097 QUESO RD.,WESTMINSTER,TX,75485,33.3624,-96.4635,23-02-2016,South
120,VERONICA,SHAFFER,(438) 850-6764,166 SYNAGOGUE DRIVE,SUMNER,TX,75486,33.785,-95.6886,29-12-2015,South
121,KADEN,KIRKLAND,(846) 176-0004,9651 SELMA AVE.,TALCO,TX,75487,33.3255,-95.0275,14-12-2015,South
122,RHEA,MCGEE,(843) 414-8627,8098 NISI AVE.,TELEPHONE,TX,75488,33.8098,-96.0162,12-12-2015,South
123,SHELBY,STANTON,(700) 308-1469,4011 LECTUS AVE.,TEXARKANA,TX,75501,33.3672,-94.2356,02-02-2016,South
124,NICHOLAS,NEAL,(254) 882-3194,4290 MAURIS STREET,NACOGDOCHES,TX,75963,31.6033,-94.6555,30-11-2015,South
125,MARTENA,HEBERT,(966) 942-6041,6836 GRAVIDA STREET,FORT WORTH,TX,76101,32.7254,-97.3208,07-02-2016,South
126,NEREA,CASE,(698) 655-5552,912 CHURCH RD.,WOODY CREEK,CO,81656,39.3016,-106.8226,10-02-2016,Southwest
127,TYRONE,DURAN,(470) 777-0130,5375 AUCTOR AVE.,VAIL,CO,81657,39.5685,-106.431,05-01-2016,Southwest
128,AVYE,RUSH,(488) 601-6954,3601 IMPERDIET STREET,FISH HAVEN,ID,83287,42.058,-111.4551,05-01-2016,Northwest
129,AMY,HEAD,(393) 748-6024,5658 ALIQUET AVE.,TWIN FALLS,ID,83301,42.314,-114.6595,13-12-2015,Northwest
130,NATALIE,YATES,(527) 827-6705,3935 SCHOOL AVE.,CHEYENNE,WY,82002,41.1335,-104.8169,12-12-2015,Northwest
131,CLAIRE,STUART,(986) 487-5227,7232 LEO ST.,CHEYENNE,WY,82003,41.1335,-104.8169,06-01-2016,Northwest
132,ODETTE,RAY,(839) 730-1571,1355 ALIVE STREET,FE WARREN AFB,WY,82005,41.1666,-104.8626,29-01-2016,Northwest
133,KYLA,HENSON,(259) 434-6139,3285 NAME ST.,WEST JORDAN,UT,84081,40.5994,-112.0417,31-01-2016,Southwest
134,TATYANA,HOUSTON,(137) 882-6042,4522 RUST AVE.,WALLSBURG,UT,84082,40.4015,-111.4617,17-02-2016,Southwest
135,SOLOMON,HAYNES,(797) 117-8572,3417 RESERVIOR RD.,SCOTTSDALE,AZ,85262,33.8554,-111.6261,27-02-2016,Southwest
136,WARREN,LOWE,(856) 653-6805,19 PEACH STREET,RIO VERDE,AZ,85263,33.7464,-111.6796,08-02-2016,Southwest
137,ASTRA,DUKE,(496) 677-2947,934 MORRIS RD.,FORT MCDOWELL,AZ,85264,33.613,-111.3744,08-02-2016,Southwest
138,YEO,ESPINOZA,(204) 777-6816,211 A AVE.,SURPRISE,AZ,85387,33.7253,-112.4589,18-12-2015,Southwest
139,LYDIA,PEARSON,(187) 796-6187,2389 ARCU RD.,GUADALUPITA,NM,87722,36.1083,-105.1233,29-12-2015,Southwest
140,JASMINE,TILLMAN,(648) 618-4592,3045 SAPIENT RD.,SAINT LOUIS,MO,63112,38.6609,-90.2821,03-02-2016,South
141,RUBY,ADAMS,(764) 487-2046,7657 TORTOR ST.,LA LOMA,NM,87724,35.1917,-105.0814,24-12-2015,Southwest
142,IGOR,NIXON,(624) 618-0448,6970 ESTA AVE.,MAXWELL,NM,87728,36.5459,-104.6294,02-01-2016,Southwest
143,ALLEN,CARR,(643) 416-2825,1695 SOCIIS AVE.,LATHAM,MO,65050,38.5455,-92.6834,02-12-2015,South
144,CHARITY,MCCARTHY,(243) 362-5791,517 VINELAND ROAD,MILLS,NM,87730,36.1243,-104.2865,30-11-2015,Southwest
145,COLBY,FREDERICK,(132) 867-7992,5093 EU STREET,MONTEZUMA,NM,87731,35.6644,-105.4216,01-12-2015,Southwest
146,MEDGE,JOYNER,(924) 269-3864,7175 WESTERN AVE.,EL PASO,TX,88595,31.7588,-106.4866,13-01-2016,South
147,PAUL,MUNOZ,(799) 678-0073,2989 AMET AVE.,THE LAKES,NV,88901,36.04,-114.9835,20-02-2016,Southwest
148,BEATRICE,RICHARD,(264) 553-7006,7383 ZIPPER RD.,BLUE DIAMOND,NV,89004,36.0378,-115.4059,12-01-2016,Southwest
149,LEN,BOWMAN,(945) 146-8274,9937 ULTRICIES STREET,BOULDER CITY,NV,89005,35.9282,-114.8327,19-02-2016,Southwest
150,ALMA,OLIVER,(665) 616-9953,1406 ID RD.,BUENA PARK,CA,90624,33.8677,-117.9974,24-02-2016,Southwest
151,BYRON,SYKES,(218) 835-9396,1302 ARCU RD.,CYPRESS,CA,90630,33.8189,-118.037,29-12-2015,Southwest
152,CANDACE,PAYNE,(756) 738-6197,7185 NADIE AVE.,LA HABRA,CA,90631,33.9393,-117.9559,27-12-2015,Southwest
153,KNOX,GARRISON,(698) 251-6391,3100 MESA VERDE RD.,ARCADIA,CA,91077,34.1398,-118.0346,17-12-2015,Southwest
154,SHANA,BRIGGS,(786) 391-0089,6280 AUCTOR ST.,PASADENA,CA,91101,34.1468,-118.1382,17-01-2016,Southwest
155,BO,ROACH,(971) 733-0608,4903 ORNARE ROAD,SAN DIEGO,CA,92199,32.9816,-117.083,17-02-2016,Southwest
156,SYLVIA,FULLER,(981) 788-0790,4472 W. ANTE ROAD,INDIO,CA,92201,33.7034,-116.2292,26-01-2016,Southwest
157,LANI,LLOYD,(436) 710-6194,7777 EGRESS STREET,SAN JOSE,CA,95117,37.3127,-121.9658,22-02-2016,Southwest
158,BRENDA,ROSALES,(311) 900-3446,1473 TRIFLE DR.,RAIL ROAD FLAT,CA,95248,38.3408,-120.5162,22-02-2016,Southwest
159,XENOS,CAMPOS,(676) 547-9042,6929 SALINAS ROAD,SAN ANDREAS,CA,95249,38.1944,-120.5806,13-02-2016,Southwest
160,MARSDEN,BYERS,(180) 419-0558,9829 AUCTION STREET,VALLECITO,CA,95251,38.1019,-120.4694,12-12-2015,Southwest
161,HU,DALTON,(848) 811-7025,6467 INN ROAD,HILO,HI,96721,19.7297,-155.0901,01-03-2016,Southwest
162,KYLAN,JOSEPH,(287) 781-4598,4956 MELTDOWN ROAD,PRINCEVILLE,HI,96722,22.1494,-159.5242,27-01-2016,Southwest
163,NOELANI,BAILEY,(974) 432-8936,6337 DIS STREET,WAHIAWA,HI,96786,21.5058,-158.0233,24-01-2016,Southwest
164,OCTAVIUS,HINES,(670) 806-0968,8240 30TH STREET,PUKALANI,HI,96788,20.8364,-156.3368,08-12-2015,Southwest
165,ZENA,KELLER,(220) 674-5712,255 MILES DRIVE,HONOLULU,HI,96837,21.3069,-157.8584,01-01-2016,Southwest
166,BRIANNA,SLATER,(224) 934-4957,7700 BLIZZARD ST.,AURORA,OR,97002,45.2389,-122.8056,16-02-2016,Northwest
167,KARYN,BENDER,(673) 383-5858,8696 BOULEVARD DRIVE,BEAVERCREEK,OR,97004,45.2456,-122.4613,15-02-2016,Northwest
168,FRANCESCA,MOLINA,(593) 636-2830,6060 VESTIBULUM RD.,HAPPY VALLEY,OR,97086,45.4432,-122.5325,16-12-2015,Northwest
169,QUINLAN,BROOKS,(431) 136-1797,9445 JANICE MARIE CT.,DAMASCUS,OR,97089,45.4217,-122.4399,22-12-2015,Northwest
170,TYRONE,ERICKSON,(138) 243-3277,"P.O. BOX 113, 9244 ERAT AVE.",PORTLAND,OR,97242,45.5239,-122.6751,11-02-2016,Northwest
171,URSULA,MOON,(633) 442-9233,4361 ODIO RD.,KLAMATH FALLS,OR,97601,42.3254,-121.9366,17-01-2016,Northwest
172,AQUILA,CASTRO,(833) 575-4161,3412 S. WASHINGTON AVE.,RAVENSDALE,WA,98051,47.3567,-121.9179,29-01-2016,Northwest
173,DAMON,PALMER,(168) 717-2566,563-5184 HENDRERIT ST.,REDMOND,WA,98052,47.6805,-122.1209,27-01-2016,Northwest
174,CHARDE,MILLS,(532) 464-9456,1165 FACILISIS STREET,SNOQUALMIE PASS,WA,98068,47.4231,-121.3731,26-01-2016,Northwest
175,HILEL,PEARSON,(320) 933-0485,5261 HABITANT ST.,NINE MILE FALLS,WA,99026,47.8086,-117.62,30-11-2015,Northwest
176,UMA,WALSH,(408) 122-8801,4624 LINCOLN DRIVE,SPOKANE,WA,99256,47.6588,-117.425,18-02-2016,Northwest
177,VANNA,GILLIAM,(242) 404-8588,7776 CAESAR ST.,FAIRBANKS,AK,99790,64.8424,-147.7185,01-12-2015,Northwest
178,MADELINE,TRUJILLO,(145) 620-1526,4295 MARTIN LUTHER KING BLVD.,ATQASUK,AK,99791,70.4891,-157.3988,13-12-2015,Northwest
179,BLAZE,FLORES,(467) 546-0764,4802 SARAH STREET,JUNEAU,AK,99801,58.3801,-134.1775,26-12-2015,Northwest
180,LACY,BRIGHT,(138) 532-6263,6063 JANUS WAY,CABO ROJO,PR,00623,18.0402,-67.1466,09-01-2016,South
181,JIN,FIELDS,(156) 258-9739,5468 THEODORE PARKER BLVD.,WASHINGTON,DC,20006,38.8951,-77.0398,05-12-2015,Northeast
182,PHYLLIS,COX,(565) 141-3529,"160-3783 SEM, ROAD",THREE RIVERS,MA,01080,42.1783,-72.3705,05-12-2015,Northeast
183,JASON,GILMORE,(964) 438-6633,3886 MAURIS ROAD,WALES,MA,01081,42.0618,-72.2314,16-01-2016,Northeast
184,GABRIEL,MELENDEZ,(431) 778-5615,6738 CONDIMENTUM RD.,GLOUCESTER,MA,01930,42.631,-70.6834,26-02-2016,Northeast
185,LANCE,FRY,(999) 565-5729,1756 QUISQUE STREET,CRANSTON,RI,02921,41.7617,-71.5177,26-01-2016,Northeast
186,JARED,FLEMING,(437) 122-2821,2988 CHEROKEE AVE.,PROVIDENCE,RI,02940,41.8238,-71.4133,02-01-2016,Northeast
187,MAGEE,DAVIS,(284) 963-7060,9519 EUSTICE AVE.,EAST DERRY,NH,03041,42.8946,-71.2917,10-02-2016,Northeast
188,GILLIAN,BOOKER,(306) 895-2060,3095 SODALES RD.,EPPING,NH,03042,43.0484,-71.08,14-01-2016,Northeast
189,IMANI,GIBSON,(711) 620-0520,3629 MAIN STREET,OCEAN PARK,ME,04063,43.5007,-70.3971,09-02-2016,Northeast
190,HANAE,HINTON,(876) 592-2083,6130 FROST DRIVE,OLD ORCHARD BEACH,ME,04064,43.5232,-70.3906,22-01-2016,Northeast
191,KEELY,NICHOLSON,(744) 345-6744,2005 HOPE ST.,OLD TOWN,ME,04468,45.0182,-68.7318,18-02-2016,Northeast
192,IRA,LOPEZ,(332) 609-6071,6921 PAHL ROAD,FOREST DALE,VT,05745,43.8284,-73.0546,15-02-2016,Northeast
193,KARLEIGH,BROWN,(861) 462-2256,8398 WILSON ROAD,GAYSVILLE,VT,05746,43.7106,-72.7547,25-02-2016,Northeast
194,CLAUDIA,YOUNG,(980) 624-8934,9898 JANE ADDAMS AVENUE,DEEP RIVER,CT,06417,41.3681,-72.4532,15-01-2016,Northeast
